Product Name,Price,Rating,Image URL
Asus VIVOBOOK PRO 14X GAMING INTEL CORE I7 16GB RAM 512GB SSD RTX 3050 (4GB) WINS 11,"₦ 1,650,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/7364104/1.jpg?8221
Razer HP PAVILION X360 2-in 1 Laptop 14-ek2001nia-A5BG6EA,"₦ 1,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0624504/1.jpg?8132
Hp VICTUS GAMING 15 12TH GEN 4GB NVIDIA RTX 2050 INTEL CORE I5 16GB RAM 512GB SSD BACKLIT KEYS WINS 11,"₦ 1,340,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/5977023/1.jpg?7851
"Hp OMEN Transcend Gaming 16.0"" Intel i7-13700HX 8GB GeForce RTX 4070 16GB 512GB SSD Win 11","₦ 3,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/4135104/1.jpg?0628
"Asus VIVOBOOK PRO 14X GAMING INTEL CORE I7 16GB RAM 512GB SSD RTX 3050 (4GB) 14"" OLED WINS 11","₦ 1,650,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/2594104/1.jpg?2786
"Hp VICTUS GAMING 15 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD RTX 3050 (6GB) 15.6""FHD BACKLIT KEY WIN 11","₦ 2,100,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/0317573/1.jpg?3167
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,340,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/1363162/1.jpg?2391
"Asus VIVOBOOK PRO 14X GAMING INTEL CORE I7 16GB RAM 512GB SSD 14""OLED RTX 3050 (4GB) WINS 11","₦ 1,650,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/4674104/1.jpg?1308
"Acer TRAVELMATE P2 11th Gen, INTEL CORE I7 8GB RAM, 256GB SSD, Backlit Keyboard Wins 10","₦ 785,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/6444304/1.jpg?8259
"Hp PAVILION 14 TOUCHSCREEN 12TH GEN INTEL CORE I7 16GB RAM 512GB SSD 2GB DEDICATED ,BACKLIT KEYBOARD WIN 11","₦ 1,350,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/7259304/1.jpg?1084
Asevi VIVOBOOK PRO 15 INTEL CORE I5 UP TO 4.4GHZ 8GB RAM 512GB SSD NVIDIA 1650 (4GB) WINDOWS 11,"₦ 988,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/5359304/1.jpg?1349
Asevi VIVOBOOK PRO 15 INTEL CORE I5 UP TO 4.4GHZ 8GB RAM 512GB SSD NVIDIA 1650 (4GB) WINDOWS 11+ Bag,"₦ 988,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/5359304/1.jpg?1354
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 8GB RAM, 512GB SSD NVIDIA RTX 3050 (4GB) WINS 11","₦ 1,270,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/3996404/1.jpg?2246
915 Generation 20V 3.25A 65W USB Type C Laptop Mobile Phone Power Adapter,"₦ 24,871",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/1262332/1.jpg?5270
Hp Victus Laptop 15,"₦ 1,950,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/2274583/1.jpg?8860
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (4GB) WINS 11","₦ 1,330,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/3996404/1.jpg?2245
"Hp PAVILION 14 TOUCHSCREEN 12TH GEN INTEL CORE I7 16GB RAM 512GB SSD 2GB DEDICATED ,BACKLIT KEYBOARD WIN 11","₦ 1,450,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/0359304/1.jpg?1286
"V5 Wired LED Backlit 4000DPI Optical USB Ergonomic PC Laptop Gaming Mouse New,Button Sound Version NO5099","₦ 17,443",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/0232693/1.jpg?2199
"Universal Wired Optical Gaming Mouse Max 5500DPI Resolution USB Lights Game Mice For Pro Gamer Laptop New,2 NO5123","₦ 17,443",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/4858693/1.jpg?9335
"V5 Wired LED Backlit 4000DPI Optical USB Ergonomic PC Laptop Gaming Mouse New,Silent Button NO5099","₦ 20,935",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/8382693/1.jpg?2839
"Wireless Gaming Mouse with Quiet Click Optical 2400 DPI for PC Laptop Office New,Red NO5099","₦ 29,665",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/9263693/1.jpg?7331
"Laptop Extension Phone Bracket Laptop Phone Holder Adjustable Laptop Side Mount Clip Slim Portable Foldable New,Blue NO5115","₦ 6,967",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/7134593/1.jpg?0717
Hp VICTUS GAMING 16 12TH GEN INTEL CORE I7 16GB RAM 1TB SSD GTX 1650 (4GB) WINS 11,"₦ 2,039,900",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/9350032/1.jpg?3525
"Universal Wired Optical Gaming Mouse Max 5500DPI Resolution USB Lights Game Mice For Pro Gamer Laptop New,2 NO5099","₦ 15,697",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/2812693/1.jpg?9128
"V5 Wired LED Backlit 4000DPI Optical USB Ergonomic PC Laptop Gaming Mouse New,Silent Button NO5111","₦ 20,935",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/1609693/1.jpg?2868
15.6inch FHD 1080P Laptop Monitor IPS Screen Portable Gaming External Monitor Plug&Play with PU Leather Cover Compatible with Laptop PC Phone Mac Xbox PS5/PS4 Switch,"₦ 327,999",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/0695893/1.jpg?8928
"SA-822 Gaming Headset High Sound Quality Headphones 3.5mm with Microphone for PC Laptop Computer Gaming New,Default NO5245","₦ 64,289",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/2616193/1.jpg?7636
Portable Laptop Cooler Laptop Cooling Base Single Fan Design Low Noise Two USB Ports Support Laptops Below 14 inch,"₦ 33,051",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/3925893/1.jpg?3189
15.6inch FHD 1080P Laptop Monitor IPS Screen Portable Gaming External Monitor Plug&Play with PU Leather Cover Compatible with Laptop PC Phone Mac Xbox PS5/PS4 Switch,"₦ 398,417",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/8853793/1.jpg?7775
15.6inch FHD 1080P Laptop Monitor IPS Screen Portable Gaming External Monitor Plug&Play with PU Leather Cover Compatible with Laptop PC Phone Mac Xbox PS5/PS4 Switch,"₦ 398,417",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/5673793/1.jpg?9861
"2400DPI Optical Adjustable 6 Button Wired Gaming Game Mice Mouse for Laptop PC,Default NO5245","₦ 12,149",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/5226193/1.jpg?9847
